Date,CNNF&R,CNNPoints,FoxNewsF&R,FoxNewsPoints
2017/07/14,31738,0.1070167672875783,82212.0,0.23270079593609008
2017/07/13,16682,0.08269460278362087,42171.0,0.06089103397241692
2017/07/12,13735,0.0795611741734785,66486.0,0.07865067959711945
2017/07/11,41903,0.07815350035895104,96170.0,0.15436091578750416
2017/07/10,35042,-0.007940097861745458,39817.0,0.18214185771114969
2017/07/09,35902,0.07009539858503705,74381.0,0.08247375618380987
2017/07/08,42375,-0.00448046528365112,122953.0,0.09540368004390841
2017/07/07,65017,0.11684423677537019,143119.0,0.29765790342917575
2017/07/06,21344,0.009156134527433251,100798.0,0.16971781711523568
2017/07/05,10490,0.03798473293468527,93648.0,0.07692514013206929
2017/07/04,36060,0.08867470461688429,57953.0,0.23733868757508608
2017/07/03,76852,0.04405990724173725,89150.0,0.024162464764624057
2017/07/02,40567,0.07130477667613765,39815.0,0.05282320417476765
